sample_idx,is_outlier,iforest_score
113,0,0.17583258002525387
114,1,-0.0022749041116867375
115,0,0.1400958686782774
116,0,0.15370160033061558
117,0,0.0141222296956659
118,0,0.1521287053888135
119,0,0.16686819832798983
120,0,0.09515718023386999
121,0,0.1695088794429398
122,0,0.14811277022423797
123,0,0.16719900585990233
124,0,0.1612713995159376
125,0,0.1180863893207233
126,0,0.037544696349608664
127,0,0.12361295057440058
128,0,0.1175563735141838
129,0,0.14223823961026627
130,0,0.10967708780550006
131,0,0.12975719506857014
132,0,0.1695632943940824
133,0,0.13860634526937837
134,0,0.09955882757198364
135,0,0.13731987621567915
136,0,0.1703270907548753
137,0,0.08426382498667412
138,0,0.13308537063863202
139,0,0.1501246440691093
140,0,0.03980604455843917
141,0,0.14845460591321757
142,0,0.1810559258066377
143,0,0.11365533019279261
144,0,0.08057590283870036
145,0,0.04916746321844706
146,0,0.1762002803052995
147,0,0.16379871721721373
148,0,0.09634562253976553
149,0,0.1123915429894452
150,0,0.11971957200087702
151,0,0.09746868027338784
152,0,0.16416985058894434
153,0,0.13958346173022917
154,0,0.14117335823045934
155,0,0.15789531771743098
156,0,0.14851209809294474
157,0,0.1671699030913429
158,0,0.1663488374464719
159,0,0.16352367558497083
160,0,0.11475163585742548
161,0,0.15910100326896914
162,0,0.1653361641224005
163,0,0.1767971814861345
164,0,0.10808330764600643
165,0,0.1729214938998906
166,0,0.17780095096166415
167,0,0.1571863276515209
168,0,0.16479974638376016
169,0,0.17593035277531038
170,0,0.17456989332656148
171,0,0.16254041533902214
172,0,0.15550064119479468
173,0,0.1766689798063366
174,0,0.17627333713393095
175,0,0.16878914519016247
176,0,0.1585127494356916
177,0,0.12497328070612657
178,0,0.12900531731412962
179,0,0.17108901244359742
180,0,0.17946654293226139
181,0,0.15277654405343677
182,0,0.1714026346967198
183,0,0.169675044652647
184,0,0.10513874534821516
185,0,0.14815666984665404
186,0,0.11521411294647343
187,0,0.07881231659856203
188,0,0.12552350956238895
189,0,0.15636060892614828
190,0,0.0919212215785632
191,0,0.1683461183472693
192,0,0.16234434130415298
193,0,0.1597490802700301
194,0,0.17439281822462327
195,0,0.174034407750136
196,0,0.1593498215920484
197,0,0.1727663564659308
198,0,0.12632352830066385
199,0,0.1276208864969759
200,0,0.15014762325272946
201,0,0.162038084586887
202,0,0.1429460791368249
203,0,0.12545365174668588
204,0,0.0879985546408441
205,0,0.06952530197543605
206,0,0.1680204964130903
207,0,0.08562043638601424
208,0,0.18079541235794355
209,0,0.097371218042752
210,0,0.15428018896786933
211,0,0.1358546252861581
212,0,0.17654519849438677
213,0,0.12410770077049804
214,0,0.16463956257301654
215,0,0.11681343014312873
216,0,0.014325396026451886
217,0,0.05124753674157062
218,0,0.11426327243759571
219,0,0.11948828457955835
220,0,0.015471409867484576
221,0,0.17336120053730542
222,0,0.13961939214104785
223,0,0.14044256291403273
224,0,0.15857993391606545
225,0,0.16449997888585827
226,0,0.1653321264295966
227,0,0.11620226907298731
228,0,0.16537859375397468
229,0,0.17616774908962757
230,0,0.17039254055418862
231,0,0.1659206197745089
232,0,0.17406196443495314
233,0,0.15017092817795263
234,0,0.14389384993359278
235,0,0.15893910904651865
236,0,0.16616065181361017
237,0,0.1511145516633302
238,0,0.17599215201275348
239,0,0.1455279337195416
240,0,0.1795382204886498
241,0,0.10043671070915844
242,0,0.180041529510846
243,0,0.17480838807286747
244,0,0.17299986753300978
245,0,0.17938811997906012
246,0,0.18317941378591568
247,0,0.1759223190340482
